SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
崙背,雲林縣,18,,良好,1.7,0.1,0.1,11,19,19,6,5.5,6.5,1,0.8,207,2020-06-04 21:00,4,15,2,120.348742,23.757547,38
斗六,雲林縣,22,,良好,1.9,0.27,0.2,12,24,21,8,11,11,0.9,1.1,205,2020-06-04 21:00,7,16,1,120.544994,23.711853,37
南投,南投縣,26,,良好,2.1,0.24,0.1,13,28,20,12,10,11,1.2,1.7,193,2020-06-04 21:00,7,15,2,120.685306,23.913,36
二林,彰化縣,25,,良好,2.2,0.16,0.1,7.3,21,24,10,6.7,7.5,0.8,1.1,173,2020-06-04 21:00,8,20,3,120.409653,23.925175,35
線西,彰化縣,21,,良好,2.2,0.19,0.1,12,21,21,14,7.8,9.5,1.6,2.4,206,2020-06-04 21:00,7,16,2,120.469061,24.131672,34
彰化,彰化縣,22,,良好,2.5,0.22,0.2,10,24,21,7,8.8,11,1.7,2.4,194,2020-06-04 21:00,6,16,4,120.541519,24.066,33
西屯,臺中市,28,,良好,1.8,0.21,0.2,14,30,18,8,9.3,9.5,0.2,2.4,202,2020-06-04 21:00,8,17,2,120.616917,24.162197,32
忠明,臺中市,28,,良好,2.1,0.23,0.2,11,26,16,9,11,14,2.4,2.2,194,2020-06-04 21:00,9,16,2,120.641092,24.151958,31
大里,臺中市,31,,良好,4.3,0.36,0.3,7.4,21,28,12,13,15,2.4,1.8,221,2020-06-04 21:00,9,21,3,120.677689,24.099611,30
沙鹿,臺中市,24,,良好,2.3,0.22,0.1,10,22,13,6,12,14,2.2,2.6,190,2020-06-04 21:00,7,15,2,120.568794,24.225628,29
豐原,臺中市,36,,良好,2.6,0.26,0.9,14,33,17,6,9.2,12,3,2.3,176,2020-06-04 21:00,11,24,4,120.741711,24.256586,28
三義,苗栗縣,29,,良好,2.9,0.19,0.1,8.9,25,19,11,15,15,-0.4,2.7,192,2020-06-04 21:00,9,19,2,120.758833,24.382942,27
苗栗,苗栗縣,23,,良好,2.1,0.24,0.2,9.7,16,21,6,11,13,2.2,2.9,194,2020-06-04 21:00,7,20,2,120.8202,24.565269,26
